padecimiento,entidad,sexo,motor_productivo,criterio_seleccion,motores_evaluados,smape_prophet,mase_prophet,smape_ensemble,mase_ensemble,smape_stacking,mase_stacking
Obesidad,Colima,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.791411732701256,1.2394384342943718,15.378563267164749,0.5176954300268439,15.183359388624062,0.5128905708785407
Obesidad,Colima,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",38.76239082204994,1.175278251159623,20.771854780671823,0.589965066913117,31.320571214081323,1.0114232619989945
Obesidad,Colima,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.417723994607684,1.2046776997364548,16.160364354757217,0.5342942182710321,15.307470508851852,0.5064976225065153
Obesidad,Durango,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.27772528564469,1.2243164713395716,30.829014795776754,0.7829295473385052,29.84000646174237,0.7615655932386058
Obesidad,Durango,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",41.591179349074785,1.30015893665836,31.35746509318767,0.7111352731963723,35.5627789398801,0.8319034180700461
Obesidad,Durango,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",34.2809885525099,1.189196168746913,29.941813624586295,0.7560216152467478,30.632801938622418,0.7728256942867291
Obesidad,Guanajuato,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",34.3997199220315,1.476967350920697,18.133781767363185,0.6120581904186879,21.131613050847687,0.7033992361011313
Obesidad,Guanajuato,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",37.41417079258518,1.512055463749956,18.823644367112205,0.5948701177010118,25.06119180962807,0.7676338575330628
Obesidad,Guanajuato,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",33.56629276958524,1.3946425938109397,18.850569586468666,0.6401639432821123,20.93276433346036,0.7032066944074125
Obesidad,Guerrero,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",34.892463430101124,1.1256638162088335,31.59787718598753,0.966771674637898,19.479186523937024,0.6327230737095044
Obesidad,Guerrero,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.30722674725554,1.0122217562993867,19.54825738520319,0.5209721523585079,20.239519286239567,0.5368601128643625
Obesidad,Guerrero,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",36.30137692420492,1.195028749095861,34.154857003575984,1.1263643564516077,19.805042496067212,0.6977742996145578
Obesidad,Hidalgo,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",22.43820916306788,0.8206681564828849,19.237127648310352,0.8780328875937212,38.919790553428626,1.5629209901585224
Obesidad,Hidalgo,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.11454047670191,0.776270105910808,18.49165377640682,0.7158132585161198,51.049117441298506,1.6040499037059135
Obesidad,Hidalgo,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",20.51496416487724,0.77401819940026,18.20601846910765,0.8760456547031413,28.241932347278887,1.257632653972652
Obesidad,Jalisco,general,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",42.88691482680187,1.6429224792671826,51.77314031528566,1.7029377953682094,79.97935002367917,2.303900469189234
Obesidad,Jalisco,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",35.720596425299824,1.414764261547099,57.01579032097889,1.6697559070389074,127.0932027151086,2.8543710501460495
Obesidad,Jalisco,mujeres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",42.243656972068585,1.6053527255969926,44.79783812642306,1.5730419474538249,72.50957719731453,2.214864029001851
Obesidad,Michoacán,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",33.93820755234247,0.7837578593799511,20.51429222933553,0.474291794569688,35.8251758685076,0.747026964931298
