padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_hombres,0.008483275303869591,0.006854245650521731,999.0,1.0807679141170161,False,multiplicative,0.01,0.05,regional,normal,1.06,19.4,0.8,20.2,16992418,True,Prophet_Alzheimer_Mexico_hombres.pkl,,México
Alzheimer,incrementos_mujeres,0.009790433189202617,0.007907959066650271,999.0,0.9682712985025231,False,multiplicative,0.01,0.1,regional,normal,1.4,18.7,0.8,19.6,16992418,True,Prophet_Alzheimer_Mexico_mujeres.pkl,,México
Alzheimer,incrementos_total,0.015799002154697976,0.012750060216829505,728.1673478089615,1.1679051440937371,True,multiplicative,0.01,0.05,regional,normal,2.46,20.8,0.9,21.6,16992418,True,Prophet_Alzheimer_Mexico_general.pkl,,México
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.48,0.0,0.8,0.8,1235456,True,Prophet_Alzheimer_Nayarit_hombres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,Nayarit
Alzheimer,incrementos_mujeres,0.059367301215175416,0.05308586631422592,999.0,0.737752927470903,False,multiplicative,0.03,0.05,regional,normal,0.71,18.3,0.7,19.0,1235456,True,Prophet_Alzheimer_Nayarit_mujeres.pkl,,Nayarit
Alzheimer,incrementos_total,0.07414605988569503,0.059948920370480364,999.0,0.5958335188360808,False,multiplicative,0.01,0.1,regional,normal,1.19,19.1,0.8,19.9,1235456,True,Prophet_Alzheimer_Nayarit_general.pkl,,Nayarit
Alzheimer,incrementos_hombres,0.015050809773457574,0.012388677773381504,999.0,0.6125795120457965,False,multiplicative,0.01,0.5,regional,normal,1.09,18.2,0.7,18.9,5784442,True,Prophet_Alzheimer_Nuevo_Leon_hombres.pkl,,Nuevo León
Alzheimer,incrementos_mujeres,0.020769870761406215,0.016740244304554366,999.0,0.5874389444456779,False,multiplicative,0.01,0.05,regional,normal,1.66,18.4,0.7,19.1,5784442,True,Prophet_Alzheimer_Nuevo_Leon_mujeres.pkl,,Nuevo León
Alzheimer,incrementos_total,0.026483093420539967,0.021242721918664574,999.0,0.5909813068599169,False,multiplicative,0.03,0.05,regional,normal,2.74,18.1,0.7,18.8,5784442,True,Prophet_Alzheimer_Nuevo_Leon_general.pkl,,Nuevo León
Alzheimer,incrementos_hombres,0.01928243940579704,0.014956463146302973,999.0,0.8462969050976322,False,multiplicative,0.01,0.1,regional,normal,0.52,18.2,0.9,19.1,4132148,True,Prophet_Alzheimer_Oaxaca_hombres.pkl,,Oaxaca
Alzheimer,incrementos_mujeres,0.02458008765261225,0.018457121397456193,999.0,0.7988832361942647,False,multiplicative,0.01,0.5,regional,normal,0.8,18.8,0.8,19.6,4132148,True,Prophet_Alzheimer_Oaxaca_mujeres.pkl,,Oaxaca
Alzheimer,incrementos_total,0.0325631814575673,0.024773907878909426,999.0,0.7316781939393114,False,multiplicative,0.01,0.05,regional,normal,1.32,19.1,0.9,19.9,4132148,True,Prophet_Alzheimer_Oaxaca_general.pkl,,Oaxaca
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.43,0.0,0.8,0.8,6583278,True,Prophet_Alzheimer_Puebla_hombres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,Puebla
Alzheimer,incrementos_mujeres,0.019211879417233062,0.015440135058424996,999.0,0.7984895098865791,False,multiplicative,0.03,0.5,regional,normal,0.76,18.7,0.8,19.5,6583278,True,Prophet_Alzheimer_Puebla_mujeres.pkl,,Puebla
Alzheimer,incrementos_total,0.02697005070227198,0.021825667559698534,999.0,0.83953678883933,False,multiplicative,0.01,0.5,regional,normal,1.18,18.1,1.0,19.1,6583278,True,Prophet_Alzheimer_Puebla_general.pkl,,Puebla
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.17,0.0,0.7,0.7,2368467,True,Prophet_Alzheimer_Queretaro_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Querétaro
