entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Puebla,general,False,43.17453714344401,deepar,43.17453714344401,deepar,36.70669891502991,prophet,43.17453714344401,deepar,43.17453714344401,deepar,36.70669891502991,prophet,43.17453714344401,deepar,52.64082353824011,ensemble,58.31141902444668,stacking
Querétaro,hombres,False,49.199689199689196,deepar,49.199689199689196,deepar,44.11491286491286,prophet,49.199689199689196,deepar,49.199689199689196,deepar,44.11491286491286,prophet,49.199689199689196,deepar,60.581501831501825,ensemble,42.100260850260845,stacking
Querétaro,mujeres,False,27.18497976653076,deepar,27.18497976653076,deepar,20.047143816090653,prophet,27.18497976653076,deepar,27.18497976653076,deepar,20.047143816090653,prophet,27.18497976653076,deepar,23.830373635252293,ensemble,24.583447891560848,stacking
Querétaro,general,False,31.990869582962173,deepar,31.990869582962173,deepar,23.757663678461277,prophet,31.990869582962173,deepar,31.990869582962173,deepar,23.757663678461277,prophet,31.990869582962173,deepar,27.706663120673547,ensemble,25.25550602214946,stacking
Quintana Roo,hombres,False,38.080087804352516,deepar,38.080087804352516,deepar,33.035593233735646,ensemble,38.080087804352516,deepar,38.080087804352516,deepar,30.600875839846424,prophet,38.080087804352516,deepar,33.035593233735646,ensemble,37.974909166565176,stacking
Quintana Roo,mujeres,False,26.046123965320216,deepar,26.046123965320216,deepar,33.04734363504066,ensemble,26.046123965320216,deepar,26.046123965320216,deepar,33.09256891419623,prophet,26.046123965320216,deepar,33.04734363504066,ensemble,31.4522518149552,stacking
Quintana Roo,general,False,29.54679722095256,deepar,29.54679722095256,deepar,28.076800618567997,ensemble,29.54679722095256,deepar,29.54679722095256,deepar,34.51001898074245,prophet,29.54679722095256,deepar,28.076800618567997,ensemble,31.545108006272248,stacking
San Luis Potosí,hombres,False,39.53551241786536,deepar,39.53551241786536,deepar,38.28080200491035,ensemble,39.53551241786536,deepar,39.53551241786536,deepar,34.31838712562855,prophet,39.53551241786536,deepar,38.28080200491035,ensemble,45.350538291487176,stacking
San Luis Potosí,mujeres,False,27.37915066640195,deepar,27.37915066640195,deepar,32.44849912841359,ensemble,27.37915066640195,deepar,27.37915066640195,deepar,28.81976745082725,prophet,27.37915066640195,deepar,32.44849912841359,ensemble,48.419519498152475,stacking
San Luis Potosí,general,False,26.995829142795834,deepar,26.995829142795834,deepar,34.45052928730631,ensemble,26.995829142795834,deepar,26.995829142795834,deepar,28.461138975894496,prophet,26.995829142795834,deepar,34.45052928730631,ensemble,47.499068014478226,stacking
Sinaloa,hombres,False,32.377876092299324,deepar,32.377876092299324,deepar,32.90246232107972,ensemble,32.377876092299324,deepar,32.377876092299324,deepar,26.777794122872955,prophet,32.377876092299324,deepar,32.90246232107972,ensemble,52.13692753270982,stacking
Sinaloa,mujeres,False,17.202052250560897,deepar,17.202052250560897,deepar,21.060570250915884,ensemble,17.202052250560897,deepar,17.202052250560897,deepar,20.283797403927,prophet,17.202052250560897,deepar,21.060570250915884,ensemble,28.75279507259938,stacking
