ds,entidad,padecimiento,meta_modo,yhat
2026-09-21,México,Parkinson,mujeres,5
2026-09-28,México,Parkinson,general,7
2026-09-28,México,Parkinson,hombres,6
2026-09-28,México,Parkinson,mujeres,5
2026-10-05,México,Parkinson,general,7
2026-10-05,México,Parkinson,hombres,4
2026-10-05,México,Parkinson,mujeres,5
2026-10-12,México,Parkinson,general,7
2026-10-12,México,Parkinson,hombres,4
2026-10-12,México,Parkinson,mujeres,4
2026-10-19,México,Parkinson,general,5
2026-10-19,México,Parkinson,hombres,6
2026-10-19,México,Parkinson,mujeres,7
2026-10-26,México,Parkinson,general,7
2026-10-26,México,Parkinson,hombres,4
2026-10-26,México,Parkinson,mujeres,4
2026-11-02,México,Parkinson,general,7
2026-11-02,México,Parkinson,hombres,4
2026-11-02,México,Parkinson,mujeres,6
2026-11-09,México,Parkinson,general,4
2026-11-09,México,Parkinson,hombres,6
2026-11-09,México,Parkinson,mujeres,3
2026-11-16,México,Parkinson,general,5
2026-11-16,México,Parkinson,hombres,4
2026-11-16,México,Parkinson,mujeres,4
2026-11-23,México,Parkinson,general,7
2026-11-23,México,Parkinson,hombres,4
2026-11-23,México,Parkinson,mujeres,5
2026-11-30,México,Parkinson,general,4
2026-11-30,México,Parkinson,hombres,5
2026-11-30,México,Parkinson,mujeres,4
2026-12-07,México,Parkinson,general,8
2026-12-07,México,Parkinson,hombres,3
2026-12-07,México,Parkinson,mujeres,6
2026-12-14,México,Parkinson,general,5
2026-12-14,México,Parkinson,hombres,4
2026-12-14,México,Parkinson,mujeres,5
2026-12-21,México,Parkinson,general,4
2026-12-21,México,Parkinson,hombres,5
2026-12-21,México,Parkinson,mujeres,4
2026-12-28,México,Parkinson,general,4
2026-12-28,México,Parkinson,hombres,3
2026-12-28,México,Parkinson,mujeres,2
2027-01-04,México,Parkinson,general,7
2027-01-04,México,Parkinson,hombres,5
2027-01-04,México,Parkinson,mujeres,3
2027-01-11,México,Parkinson,general,5
2027-01-11,México,Parkinson,hombres,5
2027-01-11,México,Parkinson,mujeres,3
2027-01-18,México,Parkinson,general,5
2027-01-18,México,Parkinson,hombres,5
2027-01-18,México,Parkinson,mujeres,2
2027-01-25,México,Parkinson,general,10
2027-01-25,México,Parkinson,hombres,4
2027-01-25,México,Parkinson,mujeres,3
2026-02-02,Nacional,Parkinson,general,155
2026-02-02,Nacional,Parkinson,hombres,72
2026-02-02,Nacional,Parkinson,mujeres,73
2026-02-09,Nacional,Parkinson,general,155
2026-02-09,Nacional,Parkinson,hombres,71
2026-02-09,Nacional,Parkinson,mujeres,76
2026-02-16,Nacional,Parkinson,general,166
2026-02-16,Nacional,Parkinson,hombres,70
2026-02-16,Nacional,Parkinson,mujeres,75
2026-02-23,Nacional,Parkinson,general,163
2026-02-23,Nacional,Parkinson,hombres,70
2026-02-23,Nacional,Parkinson,mujeres,71
2026-03-02,Nacional,Parkinson,general,159
2026-03-02,Nacional,Parkinson,hombres,70
2026-03-02,Nacional,Parkinson,mujeres,78
2026-03-09,Nacional,Parkinson,general,157
2026-03-09,Nacional,Parkinson,hombres,68
2026-03-09,Nacional,Parkinson,mujeres,75
2026-03-16,Nacional,Parkinson,general,155
2026-03-16,Nacional,Parkinson,hombres,64
2026-03-16,Nacional,Parkinson,mujeres,75
2026-03-23,Nacional,Parkinson,general,157
2026-03-23,Nacional,Parkinson,hombres,61
2026-03-23,Nacional,Parkinson,mujeres,76
2026-03-30,Nacional,Parkinson,general,153
2026-03-30,Nacional,Parkinson,hombres,59
2026-03-30,Nacional,Parkinson,mujeres,77
2026-04-06,Nacional,Parkinson,general,161
2026-04-06,Nacional,Parkinson,hombres,58
2026-04-06,Nacional,Parkinson,mujeres,76
2026-04-13,Nacional,Parkinson,general,166
2026-04-13,Nacional,Parkinson,hombres,58
2026-04-13,Nacional,Parkinson,mujeres,78
2026-04-20,Nacional,Parkinson,general,167
2026-04-20,Nacional,Parkinson,hombres,56
2026-04-20,Nacional,Parkinson,mujeres,78
2026-04-27,Nacional,Parkinson,general,163
2026-04-27,Nacional,Parkinson,hombres,55
2026-04-27,Nacional,Parkinson,mujeres,71
