disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
depresion,Depresion,neuro,Coahuila,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Coahuila,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Coahuila,general,Ensemble,tabla_333
depresion,Depresion,neuro,Colima,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Colima,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Colima,general,DeepAR,tabla_333
depresion,Depresion,neuro,Durango,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Durango,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Durango,general,Stacking,tabla_333
depresion,Depresion,neuro,Guanajuato,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Guanajuato,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Guanajuato,general,DeepAR,tabla_333
depresion,Depresion,neuro,Guerrero,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Guerrero,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Guerrero,general,Stacking,tabla_333
depresion,Depresion,neuro,Hidalgo,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Hidalgo,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Hidalgo,general,Stacking,tabla_333
depresion,Depresion,neuro,Jalisco,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Jalisco,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Jalisco,general,Stacking,tabla_333
depresion,Depresion,neuro,Michoacán,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Michoacán,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Michoacán,general,Prophet,tabla_333
depresion,Depresion,neuro,Morelos,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Morelos,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Morelos,general,DeepAR,tabla_333
depresion,Depresion,neuro,México,hombres,Prophet,tabla_333
depresion,Depresion,neuro,México,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,México,general,DeepAR,tabla_333
